date,SO2_Avg,CO_Avg,O3_Avg,NO2_Avg,PM10_Avg,PM25_Avg,Temperature_Avg,Temperature_range,Precipitation,Humidity_Avg
2009-09-07,0.003960228047556308,0.4412868590107681,0.025623706489372722,0.01729864139999758,41.55520986381688,NA,23.8,8.399999999999999,0.3,77
2009-09-08,0.0031406588987498707,0.3636310757422458,0.025137572961063847,0.013889185030026556,28.37402353089178,NA,22.9,8.8,0.4,71
2009-09-09,0.0037934381365189603,0.35525221767738857,0.027401244554703906,0.016909204272572215,38.58116573643761,NA,22.1,10.700000000000003,0,67
2009-09-10,0.004208912875997636,0.4191371117039557,0.03155672274174322,0.021133834296313908,43.543458917631156,NA,21.3,13.2,0,65
2009-09-11,0.004626241376996936,0.46161145075386095,0.02530132242931522,0.025143048114514687,50.46897092695167,NA,20.4,8.899999999999999,1.5,74
2009-09-12,0.003432723316960428,0.3903141679998745,0.03217670255779848,0.01502012614410724,33.33338091674758,NA,19.7,9.3,7.1,73
2009-09-13,0.003506401703389333,0.43768792662651357,0.03172624332374497,0.01582828467912355,36.957093064232794,NA,20,12.599999999999998,0,70
2009-09-14,0.00405350117757221,0.5215747980459793,0.02078789324682138,0.024652377375312767,46.35282246720356,NA,19.3,7.799999999999999,1.1,79
2009-09-15,0.004815716256398679,0.4610282379389905,0.03265645033332823,0.01965911561745685,49.29303517931902,NA,20.3,11.5,0.1,70
2009-09-16,0.004178775460981711,0.49682977571906206,0.030348374405788987,0.021083562952402705,61.72381614859444,NA,20.3,12.000000000000002,0,68
2009-09-17,0.003917771975029801,0.48344377050030657,0.02896415661914557,0.022745284610630412,53.606305459809086,NA,20.3,12.500000000000002,0,69
2009-09-18,0.003945791527647943,0.47465792419410496,0.03007855069994726,0.02182040358570174,54.053798706431905,NA,20.9,14.099999999999998,0,65
2009-09-19,0.0029693979184667453,0.3455812171979007,0.028195578939773678,0.014948315196447,34.87103971932766,NA,20.1,11.399999999999999,0,63
2009-09-20,0.003131332465170819,0.316814440063558,0.025984248980867583,0.013124383256575852,26.214339775079992,NA,19.9,11.999999999999998,0,67
2009-09-21,0.003491680354528724,0.40775247324858893,0.01728310468074692,0.020876351730390975,32.901633510507125,NA,19,4.800000000000001,3.1,82
2009-09-22,0.0033122738879215537,0.44113916186048324,0.021683955714460516,0.020259388081810235,56.59607976106162,NA,20,10.1,0,72
2009-09-23,0.003980574188966797,0.48477136433091167,0.021766670553550294,0.023793810487033433,55.74639580042269,NA,20.7,10.099999999999998,2,76
2009-09-24,0.004312929266091249,0.5222935438500858,0.023666983087493668,0.026259394420362146,52.89538004080407,NA,21,11.999999999999998,0,74
2009-09-25,0.004780304604810712,0.5959234182687296,0.016978029898582644,0.03035684938116041,61.34499994102816,NA,20.1,7.399999999999999,0.9,81
2009-09-26,0.003610280209375547,0.49962734019603583,0.021046710822180615,0.020891312832752997,47.5946164420831,NA,21.4,11.399999999999999,0.1,75
2009-09-27,0.0029708362208262754,0.3959690963595583,0.022557762965219372,0.015002762783110609,37.93482146247472,NA,19.6,4.199999999999999,19.6,85
